S.N,District_Name,Zone,Ecological_Belt,Development_Region,Year_BS,Year_AD,condition,type,Male,Female,Age,Married,Unmarried,Education,Employment,lat,long,Age_Group,encoded_Conditions,encoded_Types,encoded_Education,encoded_Employment
1123,Solukhumbu,Sagarmatha,Mountain,Eastern,2071,2014,Normal,Mental retardation,59,49,31,35,73.0,"College degree, bachelor, master",yes,27.75423434,86.69879175,Middle-age,2,5,0,3
1124,Solukhumbu,Sagarmatha,Mountain,Eastern,2071,2014,Severe,Hysteria,59,42,26,33,68.0,"College degree, bachelor, master",yes,27.75423434,86.69879175,Middle-age,3,4,0,3
1125,Solukhumbu,Sagarmatha,Mountain,Eastern,2071,2014,Major,Alcoholism,32,40,40,31,41.0,PhD/Doctorate,yes,27.75423434,86.69879175,old,0,0,2,3
1126,Solukhumbu,Sagarmatha,Mountain,Eastern,2071,2014,Major,Epilepsy,34,23,50,36,21.0,"College degree, bachelor, master",no,27.75423434,86.69879175,old,0,3,0,1
1127,Okhaldhunga,Sagarmatha,Hill,Eastern,2071,2014,Major,Depression,19,28,21,37,10.0,Unknown,no,27.32850363,86.41723305,Middle-age,0,2,4,1
1128,Okhaldhunga,Sagarmatha,Hill,Eastern,2071,2014,Normal,Psychosis,40,26,58,20,46.0,Up to 12 years of school,retired,27.32850363,86.41723305,old,2,6,5,2
1129,Okhaldhunga,Sagarmatha,Hill,Eastern,2071,2014,Minor,Anxiety,24,29,35,36,17.0,"College degree, bachelor, master",yes,27.32850363,86.41723305,Middle-age,1,1,0,3
1130,Okhaldhunga,Sagarmatha,Hill,Eastern,2071,2014,Minor,Mental retardation,30,29,50,59,0.0,"College degree, bachelor, master",no,27.32850363,86.41723305,old,1,5,0,1
1131,Okhaldhunga,Sagarmatha,Hill,Eastern,2071,2014,Normal,Hysteria,49,20,30,19,50.0,"College degree, bachelor, master",yes,27.32850363,86.41723305,Middle-age,2,4,0,3
1132,Okhaldhunga,Sagarmatha,Hill,Eastern,2071,2014,Minor,Alcoholism,24,50,37,59,15.0,"College degree, bachelor, master",yes,27.32850363,86.41723305,Middle-age,1,0,0,3
1133,Okhaldhunga,Sagarmatha,Hill,Eastern,2071,2014,Normal,Epilepsy,56,55,39,55,56.0,"College degree, bachelor, master",yes,27.32850363,86.41723305,Middle-age,2,3,0,3
1134,Khotang,Sagarmatha,Hill,Eastern,2071,2014,Normal,Depression,27,48,29,19,56.0,"College degree, bachelor, master",yes,27.10524151,86.76344684,Middle-age,2,2,0,3
1135,Khotang,Sagarmatha,Hill,Eastern,2071,2014,Severe,Psychosis,60,23,42,20,63.0,PhD/Doctorate,no,27.10524151,86.76344684,old,3,6,2,1
1136,Khotang,Sagarmatha,Hill,Eastern,2071,2014,Minor,Anxiety,47,34,36,21,60.0,"College degree, bachelor, master",yes,27.10524151,86.76344684,Middle-age,1,1,0,3
1137,Khotang,Sagarmatha,Hill,Eastern,2071,2014,Normal,Mental retardation,53,57,60,40,70.0,Up to 9 years of school,no,27.10524151,86.76344684,old,2,5,6,1
1138,Khotang,Sagarmatha,Hill,Eastern,2071,2014,Major,Hysteria,18,39,29,40,17.0,"College degree, bachelor, master",yes,27.10524151,86.76344684,Middle-age,0,4,0,3
1139,Khotang,Sagarmatha,Hill,Eastern,2071,2014,Minor,Alcoholism,55,51,42,40,66.0,PhD/Doctorate,no,27.10524151,86.76344684,old,1,0,2,1
1140,Khotang,Sagarmatha,Hill,Eastern,2071,2014,Normal,Epilepsy,60,36,28,41,55.0,"College degree, bachelor, master",yes,27.10524151,86.76344684,Middle-age,2,3,0,3
1141,Udaypur,Sagarmatha,Hill,Eastern,2071,2014,Normal,Depression,41,52,38,25,68.0,"College degree, bachelor, master",yes,26.89706243,86.62430815,Middle-age,2,2,0,3
1142,Udaypur,Sagarmatha,Hill,Eastern,2071,2014,Major,Psychosis,27,39,51,41,25.0,"College degree, bachelor, master",no,26.89706243,86.62430815,old,0,6,0,1
1143,Udaypur,Sagarmatha,Hill,Eastern,2071,2014,Minor,Anxiety,51,47,20,27,71.0,"College degree, bachelor, master",no,26.89706243,86.62430815,Middle-age,1,1,0,1
1144,Udaypur,Sagarmatha,Hill,Eastern,2071,2014,Severe,Mental retardation,29,29,33,56,2.0,"College degree, bachelor, master",yes,26.89706243,86.62430815,Middle-age,3,5,0,3
1145,Udaypur,Sagarmatha,Hill,Eastern,2071,2014,Major,Hysteria,54,59,18,6,107.0,Up to 12 years of school,no,26.89706243,86.62430815,young,0,4,5,1
1146,Udaypur,Sagarmatha,Hill,Eastern,2071,2014,Normal,Alcoholism,47,31,60,41,37.0,Unknown,no,26.89706243,86.62430815,old,2,0,4,1
1147,Udaypur,Sagarmatha,Hill,Eastern,2071,2014,Major,Epilepsy,22,34,53,31,25.0,Up to 12 years of school,no,26.89706243,86.62430815,old,0,3,5,1
1148,Saptari,Sagarmatha,Terai,Eastern,2071,2014,Minor,Depression,18,29,33,46,1.0,"College degree, bachelor, master",no,26.59685229,86.73725506,Middle-age,1,2,0,1
1149,Saptari,Sagarmatha,Terai,Eastern,2071,2014,Minor,Psychosis,34,18,58,22,30.0,"College degree, bachelor, master",no,26.59685229,86.73725506,old,1,6,0,1
1150,Saptari,Sagarmatha,Terai,Eastern,2071,2014,Normal,Anxiety,49,24,26,55,18.0,"College degree, bachelor, master",no,26.59685229,86.73725506,Middle-age,2,1,0,1
1151,Saptari,Sagarmatha,Terai,Eastern,2071,2014,Major,Mental retardation,45,24,22,36,33.0,Unknown,no,26.59685229,86.73725506,Middle-age,0,5,4,1
1152,Saptari,Sagarmatha,Terai,Eastern,2071,2014,Severe,Hysteria,31,60,32,42,49.0,"College degree, bachelor, master",Unknown,26.59685229,86.73725506,Middle-age,3,4,0,0
1153,Saptari,Sagarmatha,Terai,Eastern,2071,2014,Normal,Alcoholism,29,47,45,34,42.0,PhD/Doctorate,no,26.59685229,86.73725506,old,2,0,2,1
1154,Saptari,Sagarmatha,Terai,Eastern,2071,2014,Severe,Epilepsy,41,23,51,33,31.0,"College degree, bachelor, master",no,26.59685229,86.73725506,old,3,3,0,1
1155,Siraha,Sagarmatha,Terai,Eastern,2071,2014,Normal,Depression,31,35,54,36,30.0,Up to 12 years of school,no,26.6852784,86.32651559,old,2,2,5,1
1156,Siraha,Sagarmatha,Terai,Eastern,2071,2014,Severe,Psychosis,46,45,52,56,35.0,"College degree, bachelor, master",no,26.6852784,86.32651559,old,3,6,0,1
1157,Siraha,Sagarmatha,Terai,Eastern,2071,2014,Normal,Anxiety,32,54,46,27,59.0,PhD/Doctorate,no,26.6852784,86.32651559,old,2,1,2,1
1158,Siraha,Sagarmatha,Terai,Eastern,2071,2014,Minor,Mental retardation,39,60,43,22,77.0,PhD/Doctorate,no,26.6852784,86.32651559,old,1,5,2,1
1159,Siraha,Sagarmatha,Terai,Eastern,2071,2014,Severe,Hysteria,24,22,38,48,40.625142857142855,"College degree, bachelor, master",Unknown,26.6852784,86.32651559,Middle-age,3,4,0,0
1160,Siraha,Sagarmatha,Terai,Eastern,2071,2014,Normal,Alcoholism,60,35,30,18,77.0,"College degree, bachelor, master",Unknown,26.6852784,86.32651559,Middle-age,2,0,0,0
1161,Siraha,Sagarmatha,Terai,Eastern,2071,2014,Major,Epilepsy,31,43,58,24,50.0,"College degree, bachelor, master",no,26.6852784,86.32651559,old,0,3,0,1
1162,Dhanusha,Janakpur,Terai,Central,2071,2014,Major,Depression,45,59,42,38,66.0,PhD/Doctorate,no,26.79587245,86.00721975,old,0,2,2,1
1163,Dhanusha,Janakpur,Terai,Central,2071,2014,Major,Psychosis,39,53,26,54,38.0,"College degree, bachelor, master",Unknown,26.79587245,86.00721975,Middle-age,0,6,0,0
1164,Dhanusha,Janakpur,Terai,Central,2071,2014,Major,Anxiety,52,34,48,60,26.0,PhD/Doctorate,no,26.79587245,86.00721975,old,0,1,2,1
1165,Dhanusha,Janakpur,Terai,Central,2071,2014,Severe,Mental retardation,44,34,21,57,21.0,"College degree, bachelor, master",no,26.79587245,86.00721975,Middle-age,3,5,0,1
1166,Dhanusha,Janakpur,Terai,Central,2071,2014,Normal,Hysteria,45,26,39,60,11.0,"College degree, bachelor, master",Unknown,26.79587245,86.00721975,Middle-age,2,4,0,0
1167,Dhanusha,Janakpur,Terai,Central,2071,2014,Major,Alcoholism,46,36,20,52,30.0,Unknown,no,26.79587245,86.00721975,Middle-age,0,0,4,1
1168,Dhanusha,Janakpur,Terai,Central,2071,2014,Minor,Epilepsy,28,45,24,36,37.0,"College degree, bachelor, master",no,26.79587245,86.00721975,Middle-age,1,3,0,1
1169,Mahottari,Janakpur,Terai,Central,2071,2014,Normal,Depression,27,44,51,51,20.0,"College degree, bachelor, master",no,26.85777117,85.82059516,old,2,2,0,1
1170,Mahottari,Janakpur,Terai,Central,2071,2014,Severe,Psychosis,41,38,53,49,30.0,"College degree, bachelor, master",no,26.85777117,85.82059516,old,3,6,0,1
1171,Mahottari,Janakpur,Terai,Central,2071,2014,Major,Anxiety,55,58,30,40,73.0,"College degree, bachelor, master",Unknown,26.85777117,85.82059516,Middle-age,0,1,0,0
1172,Mahottari,Janakpur,Terai,Central,2071,2014,Major,Mental retardation,57,55,25,55,57.0,"College degree, bachelor, master",no,26.85777117,85.82059516,Middle-age,0,5,0,1
1173,Mahottari,Janakpur,Terai,Central,2071,2014,Severe,Hysteria,30,52,39,22,60.0,"College degree, bachelor, master",Unknown,26.85777117,85.82059516,Middle-age,3,4,0,0
1174,Mahottari,Janakpur,Terai,Central,2071,2014,Severe,Alcoholism,47,22,30,27,42.0,"College degree, bachelor, master",Unknown,26.85777117,85.82059516,Middle-age,3,0,0,0
1175,Mahottari,Janakpur,Terai,Central,2071,2014,Severe,Epilepsy,37,37,48,28,46.0,PhD/Doctorate,no,26.85777117,85.82059516,old,3,3,2,1
1176,Sarlahi,Janakpur,Terai,Central,2071,2014,Normal,Depression,48,53,45,54,47.0,PhD/Doctorate,no,26.96581113,85.5617024,old,2,2,2,1
1177,Sarlahi,Janakpur,Terai,Central,2071,2014,Normal,Psychosis,59,60,36,47,72.0,"College degree, bachelor, master",Unknown,26.96581113,85.5617024,Middle-age,2,6,0,0
1178,Sarlahi,Janakpur,Terai,Central,2071,2014,Normal,Anxiety,32,52,43,38,46.0,PhD/Doctorate,no,26.96581113,85.5617024,old,2,1,2,1
1179,Sarlahi,Janakpur,Terai,Central,2071,2014,Severe,Mental retardation,45,33,59,37,41.0,"College degree, bachelor, master",retired,26.96581113,85.5617024,old,3,5,0,2
1180,Sarlahi,Janakpur,Terai,Central,2071,2014,Severe,Hysteria,31,46,24,18,59.0,Unknown,no,26.96581113,85.5617024,Middle-age,3,4,4,1
1181,Sarlahi,Janakpur,Terai,Central,2071,2014,Normal,Alcoholism,51,42,22,48,45.0,"College degree, bachelor, master",no,26.96581113,85.5617024,Middle-age,2,0,0,1
1182,Sarlahi,Janakpur,Terai,Central,2071,2014,Minor,Epilepsy,58,59,19,45,72.0,"Some College, short continuing education or equivalent",yes,26.96581113,85.5617024,young,1,3,3,3
1183,Sindhuli,Janakpur,Hill,Central,2071,2014,Major,Depression,28,37,36,38,27.0,"College degree, bachelor, master",Unknown,27.21085578,85.90028129,Middle-age,0,2,0,0
1184,Sindhuli,Janakpur,Hill,Central,2071,2014,Major,Psychosis,46,55,47,40,61.0,PhD/Doctorate,no,27.21085578,85.90028129,old,0,6,2,1
1185,Sindhuli,Janakpur,Hill,Central,2071,2014,Minor,Anxiety,45,36,38,21,60.0,"College degree, bachelor, master",Unknown,27.21085578,85.90028129,Middle-age,1,1,0,0
1186,Sindhuli,Janakpur,Hill,Central,2071,2014,Severe,Mental retardation,44,20,59,33,31.0,"College degree, bachelor, master",no,27.21085578,85.90028129,old,3,5,0,1
1187,Sindhuli,Janakpur,Hill,Central,2071,2014,Normal,Hysteria,29,27,52,54,2.0,"College degree, bachelor, master",no,27.21085578,85.90028129,old,2,4,0,1
1188,Sindhuli,Janakpur,Hill,Central,2071,2014,Normal,Alcoholism,38,43,48,52,29.0,PhD/Doctorate,no,27.21085578,85.90028129,old,2,0,2,1
1189,Sindhuli,Janakpur,Hill,Central,2071,2014,Severe,Epilepsy,19,44,42,37,26.0,PhD/Doctorate,no,27.21085578,85.90028129,old,3,3,2,1
1190,Ramechhap,Janakpur,Hill,Central,2071,2014,Major,Depression,36,59,31,28,67.0,"College degree, bachelor, master",Unknown,27.45389329,86.17446896,Middle-age,0,2,0,0
1191,Ramechhap,Janakpur,Hill,Central,2071,2014,Severe,Psychosis,54,54,21,18,90.0,"College degree, bachelor, master",no,27.45389329,86.17446896,Middle-age,3,6,0,1
1192,Ramechhap,Janakpur,Hill,Central,2071,2014,Normal,Anxiety,32,41,28,28,45.0,"College degree, bachelor, master",Unknown,27.45389329,86.17446896,Middle-age,2,1,0,0
1193,Ramechhap,Janakpur,Hill,Central,2071,2014,Severe,Mental retardation,59,30,26,45,44.0,"College degree, bachelor, master",no,27.45389329,86.17446896,Middle-age,3,5,0,1
1194,Ramechhap,Janakpur,Hill,Central,2071,2014,Normal,Hysteria,48,48,57,25,71.0,"College degree, bachelor, master",no,27.45389329,86.17446896,old,2,4,0,1
1195,Ramechhap,Janakpur,Hill,Central,2071,2014,Minor,Alcoholism,29,25,46,37,17.0,PhD/Doctorate,no,27.45389329,86.17446896,old,1,0,2,1
1196,Ramechhap,Janakpur,Hill,Central,2071,2014,Normal,Epilepsy,51,29,49,34,46.0,None,no,27.45389329,86.17446896,old,2,3,1,1
1197,Dolkha,Janakpur,Mountain,Central,2071,2014,Minor,Depression,27,28,26,53,2.0,"College degree, bachelor, master",no,27.82352203,86.19576072,Middle-age,1,2,0,1
1198,Dolkha,Janakpur,Mountain,Central,2071,2014,Major,Psychosis,42,38,18,3,77.0,Up to 12 years of school,yes,27.82352203,86.19576072,young,0,6,5,3
1199,Dolkha,Janakpur,Mountain,Central,2071,2014,Minor,Anxiety,59,34,24,19,74.0,"College degree, bachelor, master",no,27.82352203,86.19576072,Middle-age,1,1,0,1
1200,Dolkha,Janakpur,Mountain,Central,2071,2014,Normal,Mental retardation,58,58,42,42,74.0,PhD/Doctorate,no,27.82352203,86.19576072,old,2,5,2,1
1201,Dolkha,Janakpur,Mountain,Central,2071,2014,Severe,Hysteria,22,21,30,43,0.0,"College degree, bachelor, master",no,27.82352203,86.19576072,Middle-age,3,4,0,1
1202,Dolkha,Janakpur,Mountain,Central,2071,2014,Major,Alcoholism,49,46,55,22,73.0,"College degree, bachelor, master",no,27.82352203,86.19576072,old,0,0,0,1
1203,Dolkha,Janakpur,Mountain,Central,2071,2014,Major,Epilepsy,30,34,22,20,44.0,"College degree, bachelor, master",no,27.82352203,86.19576072,Middle-age,0,3,0,1
1204,Sindhupalchowk,Bagmati,Mountain,Central,2071,2014,Minor,Depression,18,22,30,30,10.0,"College degree, bachelor, master",no,27.94899924,85.75847357,Middle-age,1,2,0,1
1205,Sindhupalchowk,Bagmati,Mountain,Central,2071,2014,Minor,Psychosis,59,55,27,55,59.0,"College degree, bachelor, master",no,27.94899924,85.75847357,Middle-age,1,6,0,1
1206,Sindhupalchowk,Bagmati,Mountain,Central,2071,2014,Minor,Anxiety,42,60,53,53,49.0,"College degree, bachelor, master",no,27.94899924,85.75847357,old,1,1,0,1
1207,Sindhupalchowk,Bagmati,Mountain,Central,2071,2014,Minor,Mental retardation,58,34,37,23,69.0,"College degree, bachelor, master",no,27.94899924,85.75847357,Middle-age,1,5,0,1
1208,Sindhupalchowk,Bagmati,Mountain,Central,2071,2014,Severe,Hysteria,24,32,39,56,0.0,"College degree, bachelor, master",no,27.94899924,85.75847357,Middle-age,3,4,0,1
1209,Sindhupalchowk,Bagmati,Mountain,Central,2071,2014,Severe,Alcoholism,59,47,43,36,70.0,PhD/Doctorate,no,27.94899924,85.75847357,old,3,0,2,1
1210,Sindhupalchowk,Bagmati,Mountain,Central,2071,2014,Major,Epilepsy,41,42,42,52,31.0,PhD/Doctorate,no,27.94899924,85.75847357,old,0,3,2,1
1211,Kavre,Bagmati,Hill,Central,2071,2014,Normal,Depression,27,31,18,1,57.0,Up to 12 years of school,no,27.52503681,85.616478,young,2,2,5,1
1212,Kavre,Bagmati,Hill,Central,2071,2014,Normal,Psychosis,20,26,46,41,5.0,PhD/Doctorate,no,27.52503681,85.616478,old,2,6,2,1
1213,Kavre,Bagmati,Hill,Central,2071,2014,Normal,Anxiety,60,18,40,31,47.0,PhD/Doctorate,yes,27.52503681,85.616478,old,2,1,2,3
1214,Kavre,Bagmati,Hill,Central,2071,2014,Normal,Mental retardation,57,19,32,59,17.0,"College degree, bachelor, master",yes,27.52503681,85.616478,Middle-age,2,5,0,3
1215,Kavre,Bagmati,Hill,Central,2071,2014,Major,Hysteria,58,60,58,50,68.0,Unknown,no,27.52503681,85.616478,old,0,4,4,1
1216,Kavre,Bagmati,Hill,Central,2071,2014,Major,Alcoholism,28,29,40,54,3.0,PhD/Doctorate,yes,27.52503681,85.616478,old,0,0,2,3
1217,Kavre,Bagmati,Hill,Central,2071,2014,Normal,Epilepsy,58,30,51,50,38.0,"College degree, bachelor, master",no,27.52503681,85.616478,old,2,3,0,1
1218,Lalitpur,Bagmati,Hill,Central,2071,2014,Minor,Depression,43,53,40,21,75.0,PhD/Doctorate,yes,27.58871791,85.3453208,old,1,2,2,3
1219,Lalitpur,Bagmati,Hill,Central,2071,2014,Severe,Psychosis,55,27,18,6,76.0,Up to 12 years of school,no,27.58871791,85.3453208,young,3,6,5,1
1220,Lalitpur,Bagmati,Hill,Central,2071,2014,Minor,Anxiety,20,27,28,47,0.0,"College degree, bachelor, master",yes,27.58871791,85.3453208,Middle-age,1,1,0,3
1221,Lalitpur,Bagmati,Hill,Central,2071,2014,Normal,Mental retardation,24,48,49,56,16.0,"College degree, bachelor, master",Unknown,27.58871791,85.3453208,old,2,5,0,0
1222,Lalitpur,Bagmati,Hill,Central,2071,2014,Minor,Hysteria,25,36,31,55,6.0,"College degree, bachelor, master",yes,27.58871791,85.3453208,Middle-age,1,4,0,3
1223,Lalitpur,Bagmati,Hill,Central,2071,2014,Major,Alcoholism,38,45,26,27,56.0,"College degree, bachelor, master",no,27.58871791,85.3453208,Middle-age,0,0,0,1
1224,Lalitpur,Bagmati,Hill,Central,2071,2014,Major,Epilepsy,29,20,36,49,0.0,"College degree, bachelor, master",no,27.58871791,85.3453208,Middle-age,0,3,0,1
1225,Bhaktapur,Bagmati,Hill,Central,2071,2014,Minor,Depression,24,53,29,42,35.0,"College degree, bachelor, master",no,27.66294721,85.43855603,Middle-age,1,2,0,1
1226,Bhaktapur,Bagmati,Hill,Central,2071,2014,Major,Psychosis,41,27,38,58,10.0,"College degree, bachelor, master",no,27.66294721,85.43855603,Middle-age,0,6,0,1
1227,Bhaktapur,Bagmati,Hill,Central,2071,2014,Normal,Anxiety,27,23,59,21,29.0,"College degree, bachelor, master",retired,27.66294721,85.43855603,old,2,1,0,2
1228,Bhaktapur,Bagmati,Hill,Central,2071,2014,Severe,Mental retardation,26,31,47,52,5.0,PhD/Doctorate,yes,27.66294721,85.43855603,old,3,5,2,3
1229,Bhaktapur,Bagmati,Hill,Central,2071,2014,Minor,Hysteria,39,21,51,29,31.0,Up to 12 years of school,yes,27.66294721,85.43855603,old,1,4,5,3
1230,Bhaktapur,Bagmati,Hill,Central,2071,2014,Severe,Alcoholism,37,59,31,36,60.0,"College degree, bachelor, master",no,27.66294721,85.43855603,Middle-age,3,0,0,1
1231,Bhaktapur,Bagmati,Hill,Central,2071,2014,Minor,Epilepsy,36,58,39,58,36.0,"College degree, bachelor, master",no,27.66294721,85.43855603,Middle-age,1,3,0,1
1232,Kathmandu,Bagmati,Hill,Central,2071,2014,Minor,Depression,42,53,56,60,35.0,"College degree, bachelor, master",yes,27.7328855,85.35042992,old,1,2,0,3
1233,Kathmandu,Bagmati,Hill,Central,2071,2014,Major,Psychosis,21,35,34,44,12.0,"College degree, bachelor, master",no,27.7328855,85.35042992,Middle-age,0,6,0,1
1234,Kathmandu,Bagmati,Hill,Central,2071,2014,Severe,Anxiety,41,23,31,41,23.0,"College degree, bachelor, master",no,27.7328855,85.35042992,Middle-age,3,1,0,1
1235,Kathmandu,Bagmati,Hill,Central,2071,2014,Normal,Mental retardation,46,24,27,53,17.0,"College degree, bachelor, master",no,27.7328855,85.35042992,Middle-age,2,5,0,1
1236,Kathmandu,Bagmati,Hill,Central,2071,2014,Normal,Hysteria,23,44,31,34,33.0,"College degree, bachelor, master",no,27.7328855,85.35042992,Middle-age,2,4,0,1
1237,Kathmandu,Bagmati,Hill,Central,2071,2014,Severe,Alcoholism,49,18,25,32,35.0,"College degree, bachelor, master",no,27.7328855,85.35042992,Middle-age,3,0,0,1
1238,Kathmandu,Bagmati,Hill,Central,2071,2014,Normal,Epilepsy,18,23,37,28,13.0,"College degree, bachelor, master",no,27.7328855,85.35042992,Middle-age,2,3,0,1
1239,Nuwakot,Bagmati,Hill,Central,2071,2014,Major,Depression,59,42,59,21,80.0,"College degree, bachelor, master",yes,27.87213818,85.20553279,old,0,2,0,3
1240,Nuwakot,Bagmati,Hill,Central,2071,2014,Major,Psychosis,26,18,26,31,13.0,"College degree, bachelor, master",no,27.87213818,85.20553279,Middle-age,0,6,0,1
1241,Nuwakot,Bagmati,Hill,Central,2071,2014,Major,Anxiety,60,47,28,38,69.0,"College degree, bachelor, master",no,27.87213818,85.20553279,Middle-age,0,1,0,1
1242,Nuwakot,Bagmati,Hill,Central,2071,2014,Severe,Mental retardation,39,37,47,51,25.0,PhD/Doctorate,yes,27.87213818,85.20553279,old,3,5,2,3
1243,Nuwakot,Bagmati,Hill,Central,2071,2014,Major,Hysteria,47,19,48,46,20.0,PhD/Doctorate,yes,27.87213818,85.20553279,old,0,4,2,3
1244,Nuwakot,Bagmati,Hill,Central,2071,2014,Normal,Alcoholism,31,49,55,43,37.0,"College degree, bachelor, master",no,27.87213818,85.20553279,old,2,0,0,1
1245,Nuwakot,Bagmati,Hill,Central,2071,2014,Major,Epilepsy,58,25,50,51,32.0,Up to 9 years of school,no,27.87213818,85.20553279,old,0,3,6,1
1246,Rasuwa,Bagmati,Mountain,Central,2071,2014,Minor,Depression,27,39,54,37,29.0,"College degree, bachelor, master",no,28.21369528,85.45366507,old,1,2,0,1
1247,Rasuwa,Bagmati,Mountain,Central,2071,2014,Major,Psychosis,39,31,49,28,42.0,"College degree, bachelor, master",no,28.21369528,85.45366507,old,0,6,0,1
1248,Rasuwa,Bagmati,Mountain,Central,2071,2014,Minor,Anxiety,19,24,26,20,23.0,"College degree, bachelor, master",no,28.21369528,85.45366507,Middle-age,1,1,0,1
1249,Rasuwa,Bagmati,Mountain,Central,2071,2014,Major,Mental retardation,42,25,34,52,15.0,"College degree, bachelor, master",no,28.21369528,85.45366507,Middle-age,0,5,0,1
1250,Rasuwa,Bagmati,Mountain,Central,2071,2014,Severe,Hysteria,29,23,25,18,34.0,"College degree, bachelor, master",no,28.21369528,85.45366507,Middle-age,3,4,0,1
1251,Rasuwa,Bagmati,Mountain,Central,2071,2014,Major,Alcoholism,22,58,43,33,47.0,PhD/Doctorate,no,28.21369528,85.45366507,old,0,0,2,1
1252,Rasuwa,Bagmati,Mountain,Central,2071,2014,Minor,Epilepsy,29,25,40,24,30.0,PhD/Doctorate,yes,28.21369528,85.45366507,old,1,3,2,3
1253,Dhading,Bagmati,Hill,Central,2071,2014,Major,Depression,52,25,42,58,19.0,PhD/Doctorate,yes,27.9527537,84.98055863,old,0,2,2,3
1254,Dhading,Bagmati,Hill,Central,2071,2014,Severe,Psychosis,49,52,24,32,69.0,Unknown,no,27.9527537,84.98055863,Middle-age,3,6,4,1
1255,Dhading,Bagmati,Hill,Central,2071,2014,Normal,Anxiety,23,56,53,18,61.0,Unknown,yes,27.9527537,84.98055863,old,2,1,4,3
1256,Dhading,Bagmati,Hill,Central,2071,2014,Severe,Mental retardation,43,52,24,45,50.0,"College degree, bachelor, master",no,27.9527537,84.98055863,Middle-age,3,5,0,1
1257,Dhading,Bagmati,Hill,Central,2071,2014,Minor,Hysteria,20,40,42,19,41.0,PhD/Doctorate,yes,27.9527537,84.98055863,old,1,4,2,3
1258,Dhading,Bagmati,Hill,Central,2071,2014,Severe,Alcoholism,25,37,55,24,38.0,Up to 9 years of school,yes,27.9527537,84.98055863,old,3,0,6,3
1259,Dhading,Bagmati,Hill,Central,2071,2014,Severe,Epilepsy,51,35,52,27,59.0,"College degree, bachelor, master",yes,27.9527537,84.98055863,old,3,3,0,3
1260,Makawanpur,Narayani,Hill,Central,2071,2014,Minor,Depression,41,35,23,39,37.0,"College degree, bachelor, master",yes,27.43988382,85.11702565,Middle-age,1,2,0,3
1261,Makawanpur,Narayani,Hill,Central,2071,2014,Normal,Psychosis,34,50,55,30,54.0,"College degree, bachelor, master",yes,27.43988382,85.11702565,old,2,6,0,3
1262,Makawanpur,Narayani,Hill,Central,2071,2014,Severe,Anxiety,47,35,58,40,42.0,Unknown,yes,27.43988382,85.11702565,old,3,1,4,3
1263,Makawanpur,Narayani,Hill,Central,2071,2014,Normal,Mental retardation,49,35,43,45,39.0,PhD/Doctorate,yes,27.43988382,85.11702565,old,2,5,2,3
1264,Makawanpur,Narayani,Hill,Central,2071,2014,Severe,Hysteria,57,55,27,28,84.0,"College degree, bachelor, master",no,27.43988382,85.11702565,Middle-age,3,4,0,1
1265,Makawanpur,Narayani,Hill,Central,2071,2014,Minor,Alcoholism,18,53,56,49,22.0,None,yes,27.43988382,85.11702565,old,1,0,1,3
1266,Makawanpur,Narayani,Hill,Central,2071,2014,Minor,Epilepsy,57,40,37,57,40.0,"College degree, bachelor, master",no,27.43988382,85.11702565,Middle-age,1,3,0,1
1267,Rautahat,Narayani,Terai,Central,2071,2014,Major,Depression,24,38,26,41,21.0,"College degree, bachelor, master",no,27.03243961,85.29121681,Middle-age,0,2,0,1
1268,Rautahat,Narayani,Terai,Central,2071,2014,Normal,Psychosis,22,59,35,58,23.0,"College degree, bachelor, master",no,27.03243961,85.29121681,Middle-age,2,6,0,1
1269,Rautahat,Narayani,Terai,Central,2071,2014,Severe,Anxiety,29,22,56,42,9.0,"College degree, bachelor, master",yes,27.03243961,85.29121681,old,3,1,0,3
1270,Rautahat,Narayani,Terai,Central,2071,2014,Major,Mental retardation,39,53,60,38,54.0,Up to 9 years of school,yes,27.03243961,85.29121681,old,0,5,6,3
1271,Rautahat,Narayani,Terai,Central,2071,2014,Major,Hysteria,51,42,19,35,58.0,"Some College, short continuing education or equivalent",no,27.03243961,85.29121681,young,0,4,3,1
1272,Rautahat,Narayani,Terai,Central,2071,2014,Major,Alcoholism,59,44,57,25,78.0,"College degree, bachelor, master",yes,27.03243961,85.29121681,old,0,0,0,3
1273,Rautahat,Narayani,Terai,Central,2071,2014,Minor,Epilepsy,60,40,57,54,46.0,Up to 9 years of school,yes,27.03243961,85.29121681,old,1,3,6,3
1274,Bara,Narayani,Terai,Central,2071,2014,Minor,Depression,31,31,51,25,37.0,"College degree, bachelor, master",yes,27.13540854,85.06475248,old,1,2,0,3
1275,Bara,Narayani,Terai,Central,2071,2014,Major,Psychosis,56,41,50,55,42.0,"College degree, bachelor, master",yes,27.13540854,85.06475248,old,0,6,0,3
1276,Bara,Narayani,Terai,Central,2071,2014,Normal,Anxiety,31,60,25,31,60.0,"College degree, bachelor, master",yes,27.13540854,85.06475248,Middle-age,2,1,0,3
1277,Bara,Narayani,Terai,Central,2071,2014,Minor,Mental retardation,55,35,57,57,33.0,Up to 12 years of school,retired,27.13540854,85.06475248,old,1,5,5,2
1278,Bara,Narayani,Terai,Central,2071,2014,Normal,Hysteria,44,18,35,32,30.0,"College degree, bachelor, master",no,27.13540854,85.06475248,Middle-age,2,4,0,1
